"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Zbtb20";3,41474346551747e-31;-1,88343179828011;0,457;0,992;2,69081785082776e-28
"Tuba1aTuba1b";1,75295611672811e-26;-1,13256273887302;1;1;1,38132941998175e-23
"Nfix";1,47328915782581e-25;-1,43767736051453;0,857;0,983;1,16095185636673e-22
"Nfib";1,98730402919359e-21;-1,09024023210194;0,886;1;1,56599557500455e-18
"Ppia";1,5157248639479e-19;-1,00059209947374;0,971;1;1,19439119279094e-16
"Zic1";2,00144471747744e-19;-1,3839007840211;0,429;0,95;1,57713843737222e-16
"Sox2";5,11482085998143e-18;-0,995508821934429;0,771;0,992;4,03047883766537e-15
"Sox9";3,69390002089487e-17;-1,05277352737669;0,743;1;2,91079321646516e-14
"Nfia";6,94526332112614e-17;-1,09521387628276;0,857;0,992;5,4728674970474e-14
"Ttyh1";6,96311700684013e-17;-1,20353130930536;0,543;0,924;5,48693620139002e-14
"Marcksl1";1,64400605321123e-16;-0,873057053711361;0,886;0,992;1,29547676993045e-13
"H2afz";7,04410054357933e-16;-1,06067112080429;0,829;1;5,55075122834051e-13
"Mdk";3,26932302772483e-15;-0,865463249144161;0,914;1;2,57622654584717e-12
"Nnat";6,90277610727028e-15;-1,17003191694425;0,914;1;5,43938757252898e-12
"Hmgb1";7,02859456280088e-15;-0,986190804296791;0,971;1;5,53853251548709e-12
"Dbi";2,17162721001018e-14;-1,17499562690652;0,486;0,95;1,71124224148802e-11
"Hmgn2";2,99173082682415e-14;-0,968665715980491;0,743;0,992;2,35748389153743e-11
"Cdk2ap1";7,30432847754442e-14;-0,935714639318319;0,629;0,941;5,75581084030500e-11
"Mir99ahg";2,35610120788217e-13;-1,12146331730113;0,257;0,916;1,85660775181115e-10
"Ptprz1";2,76641819880914e-13;-1,45121343373362;0,257;0,866;2,1799375406616e-10
"Hmgb3";5,86011259723445e-13;-0,944580448017724;0,6;0,933;4,61776872662075e-10
"Mpped2";6,51619167530791e-13;-1,17639300319892;0,486;0,857;5,13475904014263e-10
"Basp1";1,00824860171156e-12;-0,779208917514408;0,943;1;7,94499898148712e-10
"Stmn1";1,09195182723779e-12;-0,82661349003836;0,943;1;8,60458039863379e-10
"Ptms";1,13188486824004e-12;-0,957061870951957;0,514;0,95;8,91925276173153e-10
"Ran";1,42427534859844e-12;-0,849826843651785;0,914;0,983;1,12232897469557e-09
"Plpp3";8,61502913528792e-12;-0,882062231359041;0,429;0,941;6,78864295860688e-09
"Nasp";3,64515171993242e-11;-0,929075967768951;0,457;0,908;2,87237955530674e-08
"Fabp7";4,27901919019513e-11;-1,3946867559249;0,4;0,924;3,37186712187376e-08
"H2afv";5,317617155436e-11;-0,813181863828761;0,714;0,983;4,19028231848357e-08
"Zic3";5,58179958774132e-11;-1,14519551483486;0,143;0,773;4,39845807514016e-08
"Syt11";5,94634797796638e-11;-0,881015104510666;0,686;0,966;4,68572220663751e-08
"Pax6";8,64854002325857e-11;-0,918391539949067;0,514;0,874;6,81504953832775e-08
"Slc25a5";1,24495646694905e-10;-0,777632592032346;0,771;0,975;9,81025695955848e-08
"Nop56";1,70052514439879e-10;-0,823914405907475;0,6;0,924;1,34001381378624e-07
"Cdon";2,1602863563769e-10;-1,03796535599201;0,229;0,773;1,702305648825e-07
"Zic4";2,3498063877061e-10;-1,09588995892557;0,314;0,756;1,85164743351241e-07
"Hes5";3,49670727239701e-10;-1,12017899897802;0,286;0,773;2,75540533064884e-07
"Tmpo";3,64796693246761e-10;-0,811428403883364;0,714;0,992;2,87459794278448e-07
"Anp32b";4,52827169262525e-10;-0,821688866743807;0,8;0,966;3,5682780937887e-07
"Hmgn5";5,13500478069426e-10;-0,922371104747433;0,286;0,84;4,04638376718708e-07
"C130071C03Rik";5,69846956013503e-10;-0,818579506619389;0,429;0,95;4,4903940133864e-07
"Sfpq";5,79983115106809e-10;-0,868380185512335;0,686;0,899;4,57026694704165e-07
"2700094K13Rik";6,19643786518173e-10;-0,835897075553911;0,457;0,908;4,8827930377632e-07
"Gpm6b";6,5527654579511e-10;-0,89458684933767;0,543;0,891;5,16357918086547e-07
"Ttc3";7,2715818290444e-10;-0,691162897414179;0,8;1;5,73000648128699e-07
"Draxin";9,38067503203426e-10;-0,932611652852339;0,143;0,866;7,391971925243e-07
"Fgfbp3";1,10867063371774e-09;-0,97156073659137;0,314;0,782;8,73632459369575e-07
"H2afx";1,13028436328069e-09;-1,2477628352955;0,286;0,664;8,9066407826518e-07
"Hmgb2";1,21347367407359e-09;-1,01859658642796;0,829;0,983;9,56217255169988e-07
"Ndrg2";1,78179646012727e-09;-0,911711513296124;0,257;0,807;1,40405561058029e-06
"Rad21";1,79699471483218e-09;-0,93616904832572;0,4;0,824;1,41603183528776e-06
"Hes1";1,8588718406603e-09;-0,871451138087995;0,257;0,832;1,46479101044032e-06
"Tubb4b";1,91387453451368e-09;-0,990596508262003;0,457;0,882;1,50813313319678e-06
"Tubb2aTubb2b";1,95317836080284e-09;-0,755404256030826;0,971;0,983;1,53910454831264e-06
"Fstl1";2,05228201583866e-09;-0,883684150584685;0,371;0,824;1,61719822848086e-06
"Mfap2";3,56619490406587e-09;-0,816831822758227;0,4;0,882;2,81016158440391e-06
"Gnai2";3,57091121947592e-09;-0,615615551821705;0,886;0,992;2,81387804094703e-06
"Qk";3,80930665216305e-09;-0,718208706422633;0,829;0,992;3,00173364190449e-06
"Cenpa";4,47489764852431e-09;-1,17316991540354;0,286;0,689;3,52621934703715e-06
"Mki67";4,62307047882641e-09;-1,15192727892927;0,343;0,714;3,64297953731521e-06
"Stox2";5,03361464158858e-09;-0,734070082125852;0,657;0,924;3,9664883375718e-06
"Cadm1";5,04691458751956e-09;-0,809853760635666;0,543;0,874;3,97696869496541e-06
"Ccna2";5,90563670812951e-09;-1,09055528589164;0,257;0,748;4,65364172600605e-06
"Wnt8b";7,11910565008545e-09;-1,29692746522169;0,143;0,597;5,60985525226734e-06
"Vcan";7,73212694323264e-09;-0,937860440501995;0,229;0,782;6,09291603126732e-06
"Ezh2";7,82968842168285e-09;-0,812297878929247;0,514;0,908;6,16979447628609e-06
"Dek";9,36238539644768e-09;-0,773691151781256;0,743;0,95;7,37755969240077e-06
"Dclk1";1,04551800302599e-08;-0,874476678758271;0,457;0,908;8,23868186384479e-06
"Vim";1,05059002108319e-08;-0,812047491838196;0,829;0,992;8,27864936613553e-06
"Nucks1";1,32770428486085e-08;-0,815241137645295;0,6;0,891;1,04623097647035e-05
"Top2a";1,90756662686698e-08;-1,22044699331019;0,457;0,807;1,50316250197118e-05
"Nes";1,99616167597286e-08;-0,8005806775954;0,4;0,849;1,57297540066662e-05
"Pbx1";2,88989473951042e-08;-0,650388425223527;0,943;0,992;2,27723705473421e-05
"Tubb5";3,44846098505062e-08;-0,649514868425522;1;1;2,71738725621989e-05
"Gas1";3,5201756905047e-08;-0,93967165708888;0,457;0,815;2,77389844411771e-05
"Sept3";4,70435392767011e-08;-0,7494863431092;0,343;0,824;3,70703089500405e-05
"Zic5";4,78370641030965e-08;-0,83535223945883;0,229;0,765;3,769560651324e-05
"Msi2";5,561944267363e-08;-0,750620838505574;0,543;0,916;4,38281208268204e-05
"Pantr1";5,82361816483441e-08;-0,834468433556489;0,429;0,874;4,58901111388951e-05
"Slc1a3";5,86174406032413e-08;-0,851427433792712;0,286;0,79;4,61905431953541e-05
"Cdk1";6,60647480161833e-08;-1,00114774896317;0,457;0,689;5,20590214367525e-05
"Ube2c";6,76734798262761e-08;-1,30506569892487;0,429;0,639;5,33267021031056e-05
"Dynll1";8,40835860160998e-08;-0,734494698018317;0,771;0,916;6,62578657806867e-05
"Top1";1,19342816977181e-07;-0,634131089961012;0,971;0,975;9,40421397780187e-05
"Prdx2";1,56926565663566e-07;-0,591897527102906;0,8;0,975;0,00012365813374289
"Slc35f1";1,66760974506149e-07;-0,768052890081932;0,257;0,782;0,000131407647910845
"2610203C20Rik";1,68042192882322e-07;-0,689089046135262;0,486;0,882;0,000132417247991269
"Psat1";1,84995422370635e-07;-0,710042689790414;0,714;0,916;0,00014577639282806
"Sox1";2,00379534129043e-07;-0,764022914846486;0,457;0,824;0,000157899072893686
"Arl6ip1";2,11305307157021e-07;-1,04586280319867;0,8;0,916;0,000166508582039733
"Ppp1r14b";2,12270780596752e-07;-0,652368545782165;0,429;0,908;0,000167269375110241
"Tpx2";2,22427820596363e-07;-0,966191490059933;0,2;0,58;0,000175273122629934
"Ccdc34";2,2584460288857e-07;-0,649272318690344;0,571;0,924;0,000177965547076193
"Kif21a";2,30457422405563e-07;-0,722487850573866;0,514;0,866;0,000181600448855584
"Ddah2";2,33306238961913e-07;-0,676524779554117;0,6;0,891;0,000183845316301987
"Smc4";2,37117394454446e-07;-0,905391366622665;0,6;0,815;0,000186848506830104
"Racgap1";2,39626050586333e-07;-0,914502627474896;0,314;0,655;0,000188825327862031
"Zfp36l1";2,4396868521151e-07;-0,635338986493395;0,686;0,941;0,00019224732394667
"Phgdh";2,46330546304541e-07;-0,696153870868138;0,571;0,84;0,000194108470487978
"Nt5dc2";2,5187011375719e-07;-0,722354981629152;0,314;0,815;0,000198473649640666
"Pou3f3";2,6454583875275e-07;-0,703816559971645;0,771;0,891;0,000208462120937167
"Hn1";2,64627673238089e-07;-0,745112504754646;0,686;0,958;0,000208526606511614
"Paics";2,75295322094031e-07;-0,617221079563919;0,714;0,975;0,000216932713810097
"Cenpe";2,77643939915423e-07;-1,06433825656075;0,114;0,538;0,000218783424653353
"Ndn";2,84472588034744e-07;-0,687984840732558;0,343;0,79;0,000224164399371378
"Zfp462";2,91597415824698e-07;-0,682331849314225;0,486;0,941;0,000229778763669862
"Ccnb1";3,49279825721879e-07;-1,00883363945388;0,2;0,58;0,00027523250266884
"Fgfr1";4,03848304042572e-07;-0,697797258790307;0,343;0,748;0,000318232463585547
"Ubb";4,13247627443709e-07;-0,580092028564474;0,971;1;0,000325639130425643
"Dut";4,27058088940915e-07;-0,72444519930537;0,571;0,84;0,000336521774085441
"Cdk6";4,91763656360319e-07;-0,786078669547291;0,429;0,79;0,000387509761211932
"Prdx1";5,4910626851381e-07;-0,598906510655069;0,829;0,992;0,000432695739588882
"Hdgf";5,51428579713321e-07;-0,610590244559889;0,857;0,992;0,000434525720814097
"Cdca8";6,55805175117347e-07;-0,850911195001505;0,314;0,639;0,000516774477992469
"Rmst";8,21431489117905e-07;-0,789984846595633;0,229;0,63;0,000647288013424909
"Cdca3";8,69253231237555e-07;-0,894519085949179;0,257;0,622;0,000684971546215193
"Hnrnpd";9,07879097161268e-07;-0,660602552493803;0,714;0,916;0,000715408728563079
"Tacc3";9,70706927990947e-07;-0,807205699120008;0,2;0,613;0,000764917059256866
"Trim2";1,10280745020251e-06;-0,678365610093808;0,457;0,824;0,000869012270759576
"Celf2";1,1771428349708e-06;-0,639435590080935;0,771;0,966;0,000927588553956989
"Calm2";1,22677701249539e-06;-0,669621676215505;0,657;0,933;0,000966700285846364
"Hnrnpab";1,43313036469786e-06;-0,574781943425633;0,914;0,975;0,00112930672738191
"Tcf4";1,65479511459301e-06;-0,714877307513119;0,857;1;0,0013039785502993
"Atxn7l3b";1,73018496697218e-06;-0,528469846292543;0,857;1;0,00136338575397408
"Myo10";1,83770038999804e-06;-0,662080521440129;0,171;0,706;0,00144810790731845
"Ybx1";1,87654054755609e-06;-0,460857777901429;0,971;1;0,0014787139514742
"Ranbp1";2,07922147940861e-06;-0,651902021539543;0,686;0,941;0,00163842652577399
"Hjurp";2,14792038321505e-06;-0,719974051847514;0,314;0,782;0,00169256126197346
"Mmp14";2,79044328421198e-06;-0,607345324336304;0,229;0,756;0,00219886930795904
"Ptprs";3,13473502619992e-06;-0,611710035741942;0,657;0,916;0,00247017120064553
"Incenp";3,1389081160063e-06;-0,755152207008858;0,229;0,58;0,00247345959541296
"Rangap1";3,23619093269124e-06;-0,754424348802798;0,629;0,798;0,0025501184549607
"Cdh4";3,28996430311937e-06;-0,767916209620639;0,2;0,563;0,00259249187085807
"Cenpf";3,3929498225692e-06;-0,886397177780436;0,429;0,807;0,00267364446018453
"Aldoc";3,42946626163644e-06;-0,766012961675924;0,257;0,605;0,00270241941416951
"D8Ertd82e";3,57614109635202e-06;-0,731891586954049;0,2;0,605;0,00281799918392539
"Knstrn";3,58681645254147e-06;-0,862524015053581;0,057;0,538;0,00282641136460268
"Arcn1";4,65190340419749e-06;-0,905626071670861;0,657;0,916;0,00366569988250762
"Prox1";4,69718778950325e-06;-0,698772570362388;0,086;0,597;0,00370138397812856
"Ttc28";4,72382894423764e-06;-0,631167829302845;0,4;0,807;0,00372237720805926
"Aspm";5,04408286729728e-06;-0,849992083740481;0,114;0,496;0,00397473729943026
"Mfge8";5,2714252756148e-06;-0,602155141221873;0,314;0,756;0,00415388311718446
"Ckb";6,31496024049705e-06;-0,595237082040953;0,771;0,966;0,00497618866951168
"Kif23";6,38639962965312e-06;-0,796566345031116;0,114;0,513;0,00503248290816666
"Mex3a";6,50901115257808e-06;-0,512266773216476;0,686;0,95;0,00512910078823153
"Sox21";6,60626033396284e-06;-0,607468865106206;0,314;0,756;0,00520573314316272
"Fezf2";7,00996735142374e-06;-0,610877906983069;0,457;0,84;0,00552385427292191
"Ddah1";7,35019473043696e-06;-0,706577790203093;0,371;0,798;0,00579195344758432
"Ckap2l";7,54158035362842e-06;-0,783292602295915;0,114;0,504;0,00594276531865919
"Clic4";7,8285794794168e-06;-0,603625930537897;0,457;0,849;0,00616892062978044
"Txn1";8,39621811450684e-06;-0,479913810388187;0,743;0,966;0,00661621987423139
"Ier5";8,45650349550663e-06;-0,637651902706284;0,343;0,672;0,00666372475445922
"Kpna2";9,02950071653725e-06;-0,918195102360855;0,429;0,605;0,00711524656463135
"Ddx3x";9,2624236496529e-06;-0,556397460977492;0,829;0,958;0,00729878983592649
"Sox11";9,37645313359993e-06;-0,546587318426882;0,971;1;0,00738864506927674
"Bub3";9,84344139027312e-06;-0,678448174102856;0,514;0,731;0,00775663181553522
"Ncan";9,97304719687928e-06;-0,711347035841597;0,114;0,563;0,00785876119114088
"Rpl7l1";1,02220692121518e-05;-0,723685234925569;0,314;0,672;0,00805499053917565
"Cks2";1,17113814529667e-05;-0,843303777270642;0,371;0,63;0,00922856858493774
"Ccdc88a";1,24171878963059e-05;-0,622249638878852;0,429;0,765;0,00978474406228908
"Map1b";1,336909456106e-05;-0,530235447145604;0,8;0,992;0,0105348465141153
"Socs2";1,4007820090041e-05;-0,605339399844538;0,2;0,647;0,0110381622309523
"Plk1";1,45989196734075e-05;-0,786896618159528;0,229;0,487;0,0115039487026451
"Efnb1";1,46600710249563e-05;-0,510951412468336;0,486;0,882;0,0115521359676656
"Nrep";1,56206268000457e-05;-0,546101099892842;0,6;0,899;0,012309053918436
"Tead2";1,59807571494383e-05;-0,509274212519709;0,486;0,866;0,0125928366337573
"Map2";1,63267485873881e-05;-0,559792604136736;0,429;0,756;0,0128654778868618
"Kcnq1ot1";1,68321756669735e-05;-0,609193313856937;0,771;0,941;0,0132637544255751
